,Año,Day,Tiempo,PRN,S4,Az,Elv
401,21,095,2394,2,0.12,354.9,17.4
402,21,095,2394,5,0.05,288.3,64.3
403,21,095,2394,12,0.16,316.4,32.5
404,21,095,2394,13,0.11,173.2,38.8
405,21,095,2394,14,0.28,148.9,18.8
406,21,095,2394,15,0.12,207.1,20.4
407,21,095,2394,17,0.17,91.1,29.3
408,21,095,2394,19,0.09,66.2,35.0
409,21,095,2394,24,0.25,240.2,17.3
410,21,095,2394,28,0.17,150.1,25.9
411,21,095,2454,2,0.11,355.3,17.4
412,21,095,2454,5,0.06,289.5,64.2
413,21,095,2454,12,0.09,316.1,32.9
414,21,095,2454,13,0.12,172.8,39.1
415,21,095,2454,14,0.2,148.9,18.4
416,21,095,2454,15,0.15,206.9,20.8
417,21,095,2454,17,0.11,91.6,29.3
418,21,095,2454,19,0.09,66.8,35.1
419,21,095,2454,24,0.2,239.8,17.3
420,21,095,2454,28,0.15,150.2,25.5
421,21,095,2514,2,0.12,355.6,17.3
422,21,095,2514,5,0.06,290.7,64.0
423,21,095,2514,12,0.15,315.8,33.2
424,21,095,2514,13,0.08,172.4,39.4
425,21,095,2514,14,0.17,148.9,18.1
426,21,095,2514,15,0.14,206.8,21.1
427,21,095,2514,17,0.11,92.2,29.2
428,21,095,2514,19,0.08,67.4,35.3
429,21,095,2514,24,0.21,239.3,17.3
430,21,095,2514,28,0.16,150.2,25.0
431,21,095,2574,2,0.12,356.0,17.3
432,21,095,2574,5,0.05,291.8,63.9
433,21,095,2574,12,0.16,315.4,33.6
434,21,095,2574,13,0.13,172.0,39.7
435,21,095,2574,14,0.14,148.9,17.7
436,21,095,2574,15,0.16,206.6,21.5
437,21,095,2574,17,0.1,92.7,29.2
438,21,095,2574,19,0.09,68.0,35.4
439,21,095,2574,24,0.16,238.9,17.4
440,21,095,2574,28,0.15,150.3,24.6
441,21,095,2634,2,0.14,356.4,17.2
442,21,095,2634,5,0.04,293.0,63.7
443,21,095,2634,12,0.14,315.1,34.0
444,21,095,2634,13,0.16,171.5,40.0
445,21,095,2634,14,0.29,148.9,17.3
446,21,095,2634,15,0.13,206.4,21.8
447,21,095,2634,17,0.11,93.3,29.2
448,21,095,2634,19,0.09,68.6,35.5
449,21,095,2634,24,0.17,238.4,17.4
450,21,095,2634,28,0.25,150.3,24.2
451,21,095,2694,2,0.18,356.8,17.2
452,21,095,2694,5,0.05,294.1,63.6
453,21,095,2694,12,0.11,314.7,34.3
454,21,095,2694,13,0.11,171.1,40.3
455,21,095,2694,14,0.18,148.8,16.9
456,21,095,2694,15,0.13,206.3,22.2
457,21,095,2694,17,0.12,93.9,29.2
